Designator,Mid X,Mid Y,Rotation,Layer
_4,112.608,-50.9,90.0,top
_3,112.7,-109.992,180.0,top
_2,171.67868,-50.8,0.0,top
,171.77068,-109.87868,270.0,top
AC1,121.4,-79.1,0.0,top
C1,116.583,-92.5,0.0,top
C10,165.5,-105.3,270.0,top
C11,167.0,-105.3,270.0,top
C12,161.5,-95.9,90.0,top
C13,163.7,-98.3,0.0,top
C14,163.8,-97.1,0.0,top
C15,159.225,-100.6,180.0,top
C16,163.025,-106.4,270.0,top
C17,166.2365,-80.801,0.0,top
C18,166.3615,-87.2135,0.0,top
C19,169.375,-73.925,90.0,top
C2,145.4,-54.25,0.0,top
C20,167.8,-73.925,270.0,top
C21,166.0,-75.2,270.0,top
C22,139.949,-82.0,180.0,top
C23,149.849,-77.0,0.0,top
C24,141.149,-69.0,90.0,top
C27,139.949,-81.0,180.0,top
C28,144.049,-83.7,270.0,top
C29,149.949,-74.5,0.0,top
C3,138.9,-54.4,180.0,top
C30,143.649,-69.7,90.0,top
C31,136.474,-71.18,90.0,top
C32,135.25,-79.526,180.0,top
C33,149.329,-79.4,0.0,top
C34,133.794,-77.05,180.0,top
C35,133.794,-76.075,180.0,top
C36,137.349,-81.4,90.0,top
C37,143.349,-67.5,0.0,top
C38,140.849,-67.5,180.0,top
C39,147.0,-90.3,0.0,top
C4,119.5,-80.0,270.0,top
C40,147.0,-91.3,0.0,top
C5,124.4,-79.9,0.0,top
C6,160.6,-87.69,0.0,top
C7,138.65,-89.7,0.0,top
C8,130.5,-89.2,180.0,top
C9,159.2,-99.1,0.0,top
D1,115.2,-63.0,270.0,top
D2,170.9525,-93.9,180.0,top
D3,170.9,-92.7,180.0,top
IC1,116.488,-88.965,180.0,top
IC2,142.1,-50.0,0.0,top
IC3,163.525,-101.3125,0.0,top
IC4,166.5115,-83.7635,0.0,top
IC5,150.1,-86.6,180.0,top
J1,142.18,-106.225,0.0,top
J2,128.9,-51.7,180.0,top
J3,157.5,-109.3,180.0,top
J4,162.6,-72.0,90.0,top
J5,119.7,-51.7,180.0,top
J6,113.3,-67.9,90.0,top
JP1,116.6,-96.105,180.0,top
JP2,150.65,-58.445,0.0,top
JP3,117.9,-73.005,180.0,top
JP4,158.195,-64.3,90.0,top
JP5,170.005,-70.5,270.0,top
JP6,132.6,-83.305,180.0,top
JP7,151.3,-101.27,0.0,top
L1,168.6,-103.6,270.0,top
L2,163.2865,-83.701,90.0,top
L3,139.949,-83.6,180.0,top
R1,136.2,-107.3,270.0,top
R10,160.1,-89.39,270.0,top
R11,138.15,-91.2,270.0,top
R12,132.5,-89.2,0.0,top
R13,124.5,-102.4,270.0,top
R14,124.5,-106.4,270.0,top
R15,159.3,-103.0,180.0,top
R16,168.87,-92.71,0.0,top
R17,168.8225,-93.9,0.0,top
R18,169.8365,-87.801,270.0,top
R19,166.3,-89.3,0.0,top
R2,148.5,-106.5,270.0,top
R20,159.2,-74.6,90.0,top
R21,157.6,-74.6,270.0,top
R22,157.6,-68.9,0.0,top
R29,142.149,-69.0,270.0,top
R3,122.0,-89.1,90.0,top
R30,131.19,-63.8,180.0,top
R31,143.049,-83.7,270.0,top
R32,142.049,-83.7,270.0,top
R33,137.349,-83.3,90.0,top
R34,115.2,-65.025,90.0,top
R35,156.7,-88.6,0.0,top
R4,112.4,-84.4,0.0,top
R5,143.8,-54.7,90.0,top
R6,139.1,-55.65,0.0,top
R7,160.6,-91.09,0.0,top
R8,137.65,-92.7,180.0,top
R9,134.5,-89.2,0.0,top
SW1,154.3,-93.6,180.0,top
SW2,142.3,-96.65,180.0,top
SW3,129.8,-93.55,180.0,top
SW4,127.7,-63.85,0.0,top
SW5,158.3,-85.2,270.0,top
TH1,122.8,-104.1,180.0,top
U1,141.9115,-75.9,180.0,top
Y1,141.649,-64.3,180.0,top
Y2,133.275,-70.5,0.0,top
